Meaning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keywords in English,,,Method of Focal Objects,Morphological Analysis Method,Check-listing Method,Brainstorming,(method of using analogies),Methods of activating creativitive thinking,combine non-TRIZ,,(11) separation principles,(40) basic creativity principles,,,,,,,,,,,,,,,,,,,,combine TRIZ
data_individual/data_lydo/ld0038.txt,"212
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1
data_individual/data_lydo/ld0021.txt,"100
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_lydo/ld0018.txt,"77
",,,,,,,,,,,1,,,,,1,,,,,1,,,1,1,,,,,,1
data_individual/data_lydo/ld0043.txt,"300
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1
data_individual/data_lydo/ld0054.txt,"367
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_lydo/ld0037.txt,"204
",,,,,,,1,1,,,1,,,,,,,,,,,,,1,,,,,,,1
data_individual/data_lydo/ld0022.txt,"101
",,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,1,,1
data_individual/data_lydo/ld0031.txt,"150
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1
data_individual/data_lydo/ld0041.txt,"281
",,,,,,,,,,,1,,,,1,1,1,,,,,,,,,,,,,1,1
data_individual/data_lydo/ld0016.txt,"70
",,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1
data_individual/data_lydo/ld0036.txt,"200
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_lydo/ld0027.txt,"127
",,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1
data_individual/data_lydo/ld0025.txt,"125
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_lydo/ld0061.txt,"475
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1
data_individual/data_lydo/ld0044.txt,"312
",,1,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,1
data_individual/data_lydo/ld0020.txt,"96
",,,,,,,,,,,1,,,,,1,,,1,,,,,,,1,,,,,1
data_individual/data_lydo/ld0013.txt,"29
",,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,1
data_individual/data_lydo/ld0006.txt,"265
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_lydo/ld0059.txt,"464
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1
data_individual/data_lydo/ld0056.txt,"447
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
